,Data,Date,Description
0,0.0056,2017-01-27,Topic Prevalance
1,0.00825206301575,2017-01-31,Topic Prevalance
2,0.00459770114943,2017-02-01,Topic Prevalance
3,0.00627615062762,2017-02-06,Topic Prevalance
4,0.0032310177706,2017-02-07,Topic Prevalance
5,0.0103591160221,2017-02-08,Topic Prevalance
6,0.00731025585896,2017-02-09,Topic Prevalance
7,0.0101781170483,2017-02-10,Topic Prevalance
8,0.00859598853868,2017-02-11,Topic Prevalance
9,0.00896860986547,2017-02-12,Topic Prevalance
10,0.00778868946834,2017-02-13,Topic Prevalance
11,0.00585529067336,2017-02-14,Topic Prevalance
12,0.0028901734104,2017-02-15,Topic Prevalance
13,0.00663349917081,2017-02-16,Topic Prevalance
14,0.00468658465144,2017-02-17,Topic Prevalance
15,0.00871313672922,2017-02-18,Topic Prevalance
16,0.00815660685155,2017-02-19,Topic Prevalance
17,0.00809248554913,2017-02-20,Topic Prevalance
18,0.00866336633663,2017-02-21,Topic Prevalance
19,0.00618151166058,2017-02-22,Topic Prevalance
20,0.00446207238473,2017-02-23,Topic Prevalance
21,0.00339366515837,2017-02-24,Topic Prevalance
22,0.0109335576114,2017-02-26,Topic Prevalance
23,0.00641975308642,2017-02-27,Topic Prevalance
24,0.00715900527506,2017-02-28,Topic Prevalance
0,-0.006948562,2/28/17,Stock Price Change
1,0.001829413,2/27/17,Stock Price Change
2,-0.003503954,2/24/17,Stock Price Change
3,-0.012230771,2/23/17,Stock Price Change
4,-0.010986215,2/22/17,Stock Price Change
5,0.011108253,2/21/17,Stock Price Change
6,0.006709671,2/17/17,Stock Price Change
7,0.003354278,2/16/17,Stock Price Change
8,0.009057539,2/15/17,Stock Price Change
9,0.013039069,2/14/17,Stock Price Change
10,0.001886975,2/13/17,Stock Price Change
11,-0.004695288,2/10/17,Stock Price Change
12,0.03069936,2/9/17,Stock Price Change
13,0.010786675,2/8/17,Stock Price Change
14,0.007710003,2/7/17,Stock Price Change
15,-0.021010691,2/6/17,Stock Price Change
16,-0.04540515,2/3/17,Stock Price Change
17,0.007305523,2/2/17,Stock Price Change
18,-0.002871109,2/1/17,Stock Price Change
19,0.008350281,1/31/17,Stock Price Change
20,0.003240518,1/30/17,Stock Price Change
21,-0.00508681,1/27/17,Stock Price Change
