,Data,Date,Description
0,0.047957371,1/27/17,Topic Prevalance
1,0.284793814,1/31/17,Topic Prevalance
2,0.218241042,2/1/17,Topic Prevalance
3,0.167021277,2/6/17,Topic Prevalance
4,0.101449275,2/7/17,Topic Prevalance
5,0.094356261,2/8/17,Topic Prevalance
6,0.070088008,2/9/17,Topic Prevalance
7,0.057649667,2/10/17,Topic Prevalance
8,0.059659091,2/11/17,Topic Prevalance
9,0.049800266,2/12/17,Topic Prevalance
10,0.050153531,2/13/17,Topic Prevalance
11,0.029459902,2/14/17,Topic Prevalance
12,0.036593948,2/15/17,Topic Prevalance
13,0.032967033,2/16/17,Topic Prevalance
14,0.053283767,2/17/17,Topic Prevalance
15,0.03216459,2/18/17,Topic Prevalance
16,0.021499738,2/19/17,Topic Prevalance
17,0.028584644,2/20/17,Topic Prevalance
18,0.023993602,2/21/17,Topic Prevalance
19,0.022506394,2/22/17,Topic Prevalance
20,0.02151478,2/23/17,Topic Prevalance
21,0.049620802,2/24/17,Topic Prevalance
22,0.069526627,2/26/17,Topic Prevalance
23,0.056408289,2/27/17,Topic Prevalance
24,0.121847415,2/28/17,Topic Prevalance
0,0.001585065,2/28/17,Stock Price Change
1,-0.012178149,2/27/17,Stock Price Change
2,0,2/26/17,Stock Price Change
3,0,2/25/17,Stock Price Change
4,-0.00277585,2/24/17,Stock Price Change
5,0.001215911,2/23/17,Stock Price Change
6,0.000521376,2/22/17,Stock Price Change
7,0.00331299,2/21/17,Stock Price Change
8,0,2/20/17,Stock Price Change
9,0,2/19/17,Stock Price Change
10,0,2/18/17,Stock Price Change
11,0.010928962,2/17/17,Stock Price Change
12,-0.002286317,2/16/17,Stock Price Change
13,0.004948745,2/15/17,Stock Price Change
14,0.008376403,2/14/17,Stock Price Change
15,-0.001956599,2/13/17,Stock Price Change
16,0,2/12/17,Stock Price Change
17,0,2/11/17,Stock Price Change
18,0.007346354,2/10/17,Stock Price Change
19,0.010684535,2/9/17,Stock Price Change
20,-0.000362056,2/8/17,Stock Price Change
21,-0.008792392,2/7/17,Stock Price Change
22,0.012168543,2/6/17,Stock Price Change
23,0,2/5/17,Stock Price Change
24,0,2/4/17,Stock Price Change
25,0.022090217,2/3/17,Stock Price Change
26,-0.000556586,2/2/17,Stock Price Change
27,-0.023904382,2/1/17,Stock Price Change
28,-0.01216458,1/31/17,Stock Price Change
29,-0.003920171,1/30/17,Stock Price Change
30,0,1/29/17,Stock Price Change
31,0,1/28/17,Stock Price Change
32,-0.040027369,1/27/17,Stock Price Change
