,Data,Date,Description
0,0.032656664,1/27/17,Topic Prevalence
1,0.038802661,1/31/17,Topic Prevalence
2,0.031971581,2/1/17,Topic Prevalence
3,0.029315961,2/6/17,Topic Prevalence
4,0.038251366,2/7/17,Topic Prevalence
5,0.016650343,2/8/17,Topic Prevalence
6,0.119069553,2/9/17,Topic Prevalence
7,0.099693252,2/10/17,Topic Prevalence
8,0.037802198,2/11/17,Topic Prevalence
9,0.031473534,2/12/17,Topic Prevalence
10,0.030842607,2/13/17,Topic Prevalence
11,0.025545941,2/14/17,Topic Prevalence
12,0.090180361,2/15/17,Topic Prevalence
13,0.100689655,2/16/17,Topic Prevalence
14,0.071881607,2/17/17,Topic Prevalence
15,0.036174126,2/18/17,Topic Prevalence
16,0.026263627,2/19/17,Topic Prevalence
17,0.048453608,2/20/17,Topic Prevalence
18,0.032952548,2/21/17,Topic Prevalence
19,0.03260421,2/22/17,Topic Prevalence
20,0.045322245,2/23/17,Topic Prevalence
21,0.034074074,2/24/17,Topic Prevalence
22,0.033428844,2/26/17,Topic Prevalence
23,0.071776695,2/27/17,Topic Prevalence
24,0.039151713,2/28/17,Topic Prevalence
3,0.00519726,2/28/17,Stock Price Change
4,-0.012903226,2/27/17,Stock Price Change
5,0.002962501,2/24/17,Stock Price Change
6,0.0032851,2/23/17,Stock Price Change
7,-0.001483911,2/22/17,Stock Price Change
8,0.001877934,2/21/17,Stock Price Change
9,0.008681926,2/17/17,Stock Price Change
10,0.001739405,2/16/17,Stock Price Change
11,0.005325491,2/15/17,Stock Price Change
12,0.002150709,2/14/17,Stock Price Change
13,-0.002225401,2/13/17,Stock Price Change
14,0.010764781,2/10/17,Stock Price Change
15,-0.001524023,2/9/17,Stock Price Change
16,0.000642106,2/8/17,Stock Price Change
17,0.00112495,2/7/17,Stock Price Change
18,0.001690277,2/6/17,Stock Price Change
19,0.008277877,2/3/17,Stock Price Change
20,0.00653488,2/2/17,Stock Price Change
21,-0.00122379,2/1/17,Stock Price Change
22,-0.003657942,1/31/17,Stock Price Change
23,0.001302295,1/30/17,Stock Price Change
24,0.008040696,1/27/17,Stock Price Change
