,Data,Date,Description
0,0.088261253,1/27/17,Topic Prevalance
1,0.131929047,1/31/17,Topic Prevalance
2,0.124333925,2/1/17,Topic Prevalance
3,0.071661238,2/6/17,Topic Prevalance
4,0.046448087,2/7/17,Topic Prevalance
5,0.05093046,2/8/17,Topic Prevalance
6,0.047213266,2/9/17,Topic Prevalance
7,0.070552147,2/10/17,Topic Prevalance
8,0.050989011,2/11/17,Topic Prevalance
9,0.061516452,2/12/17,Topic Prevalance
10,0.055643879,2/13/17,Topic Prevalance
11,0.044499382,2/14/17,Topic Prevalance
12,0.036072144,2/15/17,Topic Prevalance
13,0.035862069,2/16/17,Topic Prevalance
14,0.043868922,2/17/17,Topic Prevalance
15,0.04659718,2/18/17,Topic Prevalance
16,0.045589693,2/19/17,Topic Prevalance
17,0.044536082,2/20/17,Topic Prevalance
18,0.04745167,2/21/17,Topic Prevalance
19,0.045810978,2/22/17,Topic Prevalance
20,0.041164241,2/23/17,Topic Prevalance
21,0.044444444,2/24/17,Topic Prevalance
22,0.039159503,2/26/17,Topic Prevalance
23,0.044306602,2/27/17,Topic Prevalance
24,0.049755302,2/28/17,Topic Prevalance
3,0.00519726,2/28/17,Stock Price Change
4,-0.012903226,2/27/17,Stock Price Change
5,0.002962501,2/24/17,Stock Price Change
6,0.0032851,2/23/17,Stock Price Change
7,-0.001483911,2/22/17,Stock Price Change
8,0.001877934,2/21/17,Stock Price Change
9,0.008681926,2/17/17,Stock Price Change
10,0.001739405,2/16/17,Stock Price Change
11,0.005325491,2/15/17,Stock Price Change
12,0.002150709,2/14/17,Stock Price Change
13,-0.002225401,2/13/17,Stock Price Change
14,0.010764781,2/10/17,Stock Price Change
15,-0.001524023,2/9/17,Stock Price Change
16,0.000642106,2/8/17,Stock Price Change
17,0.00112495,2/7/17,Stock Price Change
18,0.001690277,2/6/17,Stock Price Change
19,0.008277877,2/3/17,Stock Price Change
20,0.00653488,2/2/17,Stock Price Change
21,-0.00122379,2/1/17,Stock Price Change
22,-0.003657942,1/31/17,Stock Price Change
23,0.001302295,1/30/17,Stock Price Change
24,0.008040696,1/27/17,Stock Price Change
