,Data,Date,Description
0,0.05062167,1/27/17,Topic Prevalence
1,0.04080756,1/31/17,Topic Prevalence
2,0.042888165,2/1/17,Topic Prevalence
3,0.054255319,2/6/17,Topic Prevalence
4,0.075362319,2/7/17,Topic Prevalence
5,0.059082892,2/8/17,Topic Prevalence
6,0.062347577,2/9/17,Topic Prevalence
7,0.049889135,2/10/17,Topic Prevalence
8,0.057291667,2/11/17,Topic Prevalence
9,0.064980027,2/12/17,Topic Prevalence
10,0.05600234,2/13/17,Topic Prevalence
11,0.069649027,2/14/17,Topic Prevalence
12,0.100633357,2/15/17,Topic Prevalence
13,0.079120879,2/16/17,Topic Prevalence
14,0.094919455,2/17/17,Topic Prevalence
15,0.071283686,2/18/17,Topic Prevalence
16,0.089145254,2/19/17,Topic Prevalence
17,0.067345051,2/20/17,Topic Prevalence
18,0.057584644,2/21/17,Topic Prevalence
19,0.067519182,2/22/17,Topic Prevalence
20,0.064019591,2/23/17,Topic Prevalence
21,0.068905742,2/24/17,Topic Prevalence
22,0.072485207,2/26/17,Topic Prevalence
23,0.067728319,2/27/17,Topic Prevalence
24,0.143442623,2/28/17,Topic Prevalence
0,0.001585065,2/28/17,Stock Price Change
1,-0.012178149,2/27/17,Stock Price Change
2,0,2/26/17,Stock Price Change
3,0,2/25/17,Stock Price Change
4,-0.00277585,2/24/17,Stock Price Change
5,0.001215911,2/23/17,Stock Price Change
6,0.000521376,2/22/17,Stock Price Change
7,0.00331299,2/21/17,Stock Price Change
8,0,2/20/17,Stock Price Change
9,0,2/19/17,Stock Price Change
10,0,2/18/17,Stock Price Change
11,0.010928962,2/17/17,Stock Price Change
12,-0.002286317,2/16/17,Stock Price Change
13,0.004948745,2/15/17,Stock Price Change
14,0.008376403,2/14/17,Stock Price Change
15,-0.001956599,2/13/17,Stock Price Change
16,0,2/12/17,Stock Price Change
17,0,2/11/17,Stock Price Change
18,0.007346354,2/10/17,Stock Price Change
19,0.010684535,2/9/17,Stock Price Change
20,-0.000362056,2/8/17,Stock Price Change
21,-0.008792392,2/7/17,Stock Price Change
22,0.012168543,2/6/17,Stock Price Change
23,0,2/5/17,Stock Price Change
24,0,2/4/17,Stock Price Change
25,0.022090217,2/3/17,Stock Price Change
26,-0.000556586,2/2/17,Stock Price Change
27,-0.023904382,2/1/17,Stock Price Change
28,-0.01216458,1/31/17,Stock Price Change
29,-0.003920171,1/30/17,Stock Price Change
30,0,1/29/17,Stock Price Change
31,0,1/28/17,Stock Price Change
32,-0.040027369,1/27/17,Stock Price Change
