,Data,Date,Description
0,0.05062167,1/27/17,Topic Prevalence
1,0.420962199,1/31/17,Topic Prevalence
2,0.327904452,2/1/17,Topic Prevalence
3,0.212765957,2/6/17,Topic Prevalence
4,0.136231884,2/7/17,Topic Prevalence
5,0.143738977,2/8/17,Topic Prevalence
6,0.107093627,2/9/17,Topic Prevalence
7,0.082039911,2/10/17,Topic Prevalence
8,0.138020833,2/11/17,Topic Prevalence
9,0.093741678,2/12/17,Topic Prevalence
10,0.088609446,2/13/17,Topic Prevalence
11,0.05255501,2/14/17,Topic Prevalence
12,0.057002111,2/15/17,Topic Prevalence
13,0.072527473,2/16/17,Topic Prevalence
14,0.068649318,2/17/17,Topic Prevalence
15,0.062300782,2/18/17,Topic Prevalence
16,0.056109072,2/19/17,Topic Prevalence
17,0.056891767,2/20/17,Topic Prevalence
18,0.045854439,2/21/17,Topic Prevalence
19,0.051534527,2/22/17,Topic Prevalence
20,0.052125241,2/23/17,Topic Prevalence
21,0.105308776,2/24/17,Topic Prevalence
22,0.119822485,2/26/17,Topic Prevalence
23,0.096124328,2/27/17,Topic Prevalence
24,0.088745271,2/28/17,Topic Prevalence
0,0.001585065,2/28/17,Stock Price Change
1,-0.012178149,2/27/17,Stock Price Change
2,0,2/26/17,Stock Price Change
3,0,2/25/17,Stock Price Change
4,-0.00277585,2/24/17,Stock Price Change
5,0.001215911,2/23/17,Stock Price Change
6,0.000521376,2/22/17,Stock Price Change
7,0.00331299,2/21/17,Stock Price Change
8,0,2/20/17,Stock Price Change
9,0,2/19/17,Stock Price Change
10,0,2/18/17,Stock Price Change
11,0.010928962,2/17/17,Stock Price Change
12,-0.002286317,2/16/17,Stock Price Change
13,0.004948745,2/15/17,Stock Price Change
14,0.008376403,2/14/17,Stock Price Change
15,-0.001956599,2/13/17,Stock Price Change
16,0,2/12/17,Stock Price Change
17,0,2/11/17,Stock Price Change
18,0.007346354,2/10/17,Stock Price Change
19,0.010684535,2/9/17,Stock Price Change
20,-0.000362056,2/8/17,Stock Price Change
21,-0.008792392,2/7/17,Stock Price Change
22,0.012168543,2/6/17,Stock Price Change
23,0,2/5/17,Stock Price Change
24,0,2/4/17,Stock Price Change
25,0.022090217,2/3/17,Stock Price Change
26,-0.000556586,2/2/17,Stock Price Change
27,-0.023904382,2/1/17,Stock Price Change
28,-0.01216458,1/31/17,Stock Price Change
29,-0.003920171,1/30/17,Stock Price Change
30,0,1/29/17,Stock Price Change
31,0,1/28/17,Stock Price Change
32,-0.040027369,1/27/17,Stock Price Change
