,Data,Date,Description
0,0.111900533,1/27/17,Topic Prevalance
1,0.066151203,1/31/17,Topic Prevalance
2,0.078175896,2/1/17,Topic Prevalance
3,0.110638298,2/6/17,Topic Prevalance
4,0.120772947,2/7/17,Topic Prevalance
5,0.117283951,2/8/17,Topic Prevalance
6,0.119605556,2/9/17,Topic Prevalance
7,0.116962306,2/10/17,Topic Prevalance
8,0.114346591,2/11/17,Topic Prevalance
9,0.128894807,2/12/17,Topic Prevalance
10,0.129697324,2/13/17,Topic Prevalance
11,0.20003637,2/14/17,Topic Prevalance
12,0.135116115,2/15/17,Topic Prevalance
13,0.126373626,2/16/17,Topic Prevalance
14,0.106567534,2/17/17,Topic Prevalance
15,0.111561866,2/18/17,Topic Prevalance
16,0.131882538,2/19/17,Topic Prevalance
17,0.12719704,2/20/17,Topic Prevalance
18,0.130631832,2/21/17,Topic Prevalance
19,0.134782609,2/22/17,Topic Prevalance
20,0.132936855,2/23/17,Topic Prevalance
21,0.125027086,2/24/17,Topic Prevalance
22,0.112919132,2/26/17,Topic Prevalance
23,0.128357636,2/27/17,Topic Prevalance
24,0.127837327,2/28/17,Topic Prevalance
0,0.001585065,2/28/17,Stock Price Change
1,-0.012178149,2/27/17,Stock Price Change
2,0,2/26/17,Stock Price Change
3,0,2/25/17,Stock Price Change
4,-0.00277585,2/24/17,Stock Price Change
5,0.001215911,2/23/17,Stock Price Change
6,0.000521376,2/22/17,Stock Price Change
7,0.00331299,2/21/17,Stock Price Change
8,0,2/20/17,Stock Price Change
9,0,2/19/17,Stock Price Change
10,0,2/18/17,Stock Price Change
11,0.010928962,2/17/17,Stock Price Change
12,-0.002286317,2/16/17,Stock Price Change
13,0.004948745,2/15/17,Stock Price Change
14,0.008376403,2/14/17,Stock Price Change
15,-0.001956599,2/13/17,Stock Price Change
16,0,2/12/17,Stock Price Change
17,0,2/11/17,Stock Price Change
18,0.007346354,2/10/17,Stock Price Change
19,0.010684535,2/9/17,Stock Price Change
20,-0.000362056,2/8/17,Stock Price Change
21,-0.008792392,2/7/17,Stock Price Change
22,0.012168543,2/6/17,Stock Price Change
23,0,2/5/17,Stock Price Change
24,0,2/4/17,Stock Price Change
25,0.022090217,2/3/17,Stock Price Change
26,-0.000556586,2/2/17,Stock Price Change
27,-0.023904382,2/1/17,Stock Price Change
28,-0.01216458,1/31/17,Stock Price Change
29,-0.003920171,1/30/17,Stock Price Change
30,0,1/29/17,Stock Price Change
31,0,1/28/17,Stock Price Change
32,-0.040027369,1/27/17,Stock Price Change
